agent_id,agent_name,month,day,tenure_months,call_type,aht_sec,csat_score,qa_audit_score,resolution_status
AGT-019,Kavya Gupta,July-2026,18,28,Inbound,268.4,5.0,88.0,Resolved
AGT-001,Arjun Jenkins,February-2026,14,16,INBOUND,283.1,4.3,97.1,Unresolved
AGT-018,Sarah Iyer,February-2026,1,23,Inbound,258.1,5.0,95.6,Resolved
AGT-007,Rahul Iyer,May-2026,2,27,Inbound,244.0,,100.0,Resolved
AGT-012,Kavya Jenkins,March-2026,5,17,Inbound,202.8,4.6,90.4,Resolved
AGT-018,Sarah Iyer,June-2026,18,27,Inbound,279.2,5.0,94.7,Pending
AGT-015,Arjun Nair,July-2026,20,14,INBOUND,197.0,4.3,,Resolved
AGT-020,Rahul Sharma,July-2026,7,14,Inbound,230.1,4.3,81.5,Escalated
AGT-006,Arjun Nair,April-2026,19,20,Inbound,224.7,4.4,96.1,Escalated
AGT-015,Arjun Nair,July-2026,3,14,Inbound,290.5,5.0,80.0,Resolved
AGT-012,Kavya Jenkins,February-2026,12,16,Inbound,320.3,4.7,94.4,Resolved
AGT-023,Michael Wilson,July-2026,23,22,Inbound,288.8,5.0,99.7,Resolved
AGT-007,Rahul Iyer,March-2026,8,25,Inbound,251.2,4.1,92.9,Resolved
AGT-013, Rahul Wilson ,July-2026,21,27,Inbound,292.0,5.0,100.0,Resolved
AGT-014,Priya Iyer,February-2026,10,18,Inbound,258.2,,96.3,Resolved
AGT-021,Ananya Gupta,February-2026,11,9,Inbound,302.2,4.3,74.5,Pending
AGT-009,Arjun Sharma,February-2026,25,2,Inbound,271.7,2.5,75.1,Pending
AGT-016,Ananya Verma,May-2026,13,20,Inbound,188.5,4.9,93.7,Resolved
AGT-014,Priya Iyer,February-2026,26,18,Inbound,294.6,5.0,92.4,Resolved
AGT-019,Kavya Gupta,June-2026,17,27,Inbound,254.7,5.0,100.0,Resolved
AGT-005,Rahul Chang,February-2026,1,0,Inbound,328.5,2.1,72.8,Resolved
AGT-019,Kavya Gupta,July-2026,2,28,Inbound,315.1,4.2,88.1,Resolved
AGT-005,Rahul Chang,March-2026,18,1,Inbound,,2.9,57.1,Resolved
AGT-018,Sarah Iyer,February-2026,3,23,Inbound,225.3,4.7,93.2,Resolved
AGT-024,James Reddy,May-2026,22,7,Inbound,290.4,3.4,86.5,Resolved
AGT-017,Neha Sharma,June-2026,17,4,Inbound,305.1,3.8,76.9,Pending
AGT-025,Arjun Reddy,February-2026,13,22,Inbound,227.1,5.0,82.0,Resolved
AGT-010,James Iyer,June-2026,3,10,Inbound,425.8,4.3,88.7,Resolved
AGT-024,James Reddy,July-2026,13,9,Inbound,295.5,4.1,77.3,Resolved
AGT-009,Arjun Sharma,July-2026,16,7,Inbound,313.9,4.3,85.0,Resolved
AGT-008,Kavya Gupta,April-2026,12,10,INBOUND,321.8,3.9,91.5,Resolved
AGT-017,Neha Sharma,May-2026,20,3,Inbound,253.8,4.4,66.0,Resolved
AGT-017,Neha Sharma,February-2026,26,0,Inbound,309.2,4.2,61.5,Escalated
AGT-017,Neha Sharma,June-2026,15,4,Inbound,239.4,1.0,63.1,Unresolved
AGT-012,Kavya Jenkins,May-2026,21,19,Inbound,229.1,4.5,91.3,Resolved
AGT-019,Kavya Gupta,April-2026,6,25,Inbound,238.2,4.2,98.3,Pending
AGT-002,Arjun Sharma,April-2026,20,21,INBOUND,227.6,4.7,98.3,Resolved
AGT-003,Sarah Reddy,June-2026,2,26,Inbound,304.3,4.9,95.4,Resolved
AGT-002,Arjun Sharma,April-2026,15,21,Inbound,241.6,5.0,89.0,Resolved
AGT-024,James Reddy,June-2026,12,8,Inbound,240.1,4.8,75.9,Resolved
AGT-004,Priya Nair,March-2026,8,5,Inbound,223.8,2.3,76.0,Resolved
AGT-011,David Chang,April-2026,13,11,Inbound,313.0,3.5,91.4,Resolved
AGT-009,Arjun Sharma,May-2026,25,5,Inbound,253.0,3.3,82.7,Resolved
AGT-025,Arjun Reddy,April-2026,23,24,Inbound,199.0,4.6,100.0,Resolved
AGT-021,Ananya Gupta,March-2026,20,10,Inbound,273.7,4.5,,Pending
AGT-006,Arjun Nair,March-2026,18,19,Inbound,299.2,5.0,100.0,Resolved
AGT-002,Arjun Sharma,July-2026,24,24,Inbound,271.9,5.0,98.9,Resolved
AGT-023,Michael Wilson,June-2026,5,21,Inbound,272.1,4.6,94.7,Resolved
AGT-004,Priya Nair,February-2026,2,4,Inbound,274.8,3.6,55.2,Escalated
AGT-011,David Chang,May-2026,14,12,Inbound,282.0,5.0,93.7,Resolved
AGT-011,David Chang,March-2026,26,10,Inbound,288.6,3.1,80.2,Resolved
AGT-021,Ananya Gupta,March-2026,7,10,Inbound,276.7,4.5,75.4,Pending
AGT-016,Ananya Verma,July-2026,17,22,Inbound,280.0,4.7,80.8,Resolved
AGT-013,Rahul Wilson,May-2026,14,25,Inbound,265.5,4.2,99.9,Resolved
AGT-015,Arjun Nair,May-2026,9,12,Inbound,239.9,3.4,81.8,Resolved
AGT-013,Rahul Wilson,March-2026,23,23,Inbound,322.3,5.0,83.7,Escalated
AGT-016,Ananya Verma,March-2026,24,18,Inbound,221.4,4.5,91.6,Resolved
AGT-021,Ananya Gupta,July-2026,23,14,Inbound,216.7,3.4,86.9,Resolved
AGT-023,Michael Wilson,April-2026,21,19,Inbound,278.9,4.3,100.0,Resolved
AGT-008,Kavya Gupta,July-2026,22,13,Inbound,248.1,4.6,99.8,Escalated
AGT-018,Sarah Iyer,July-2026,5,28,Inbound,274.7,5.0,100.0,Resolved
AGT-016,Ananya Verma,March-2026,23,18,Inbound,268.8,4.5,97.6,Unresolved
AGT-007,Rahul Iyer,April-2026,10,26,Inbound,268.3,5.0,93.6,Escalated
AGT-016,Ananya Verma,April-2026,24,19,Inbound,171.0,5.0,96.6,Resolved
AGT-004,Priya Nair,February-2026,8,4,Inbound,273.9,3.1,71.1,Escalated
AGT-008,Kavya Gupta,March-2026,13,9,Inbound,267.5,3.9,78.2,Pending
AGT-011,David Chang,March-2026,2,10,Inbound,351.7,4.0,74.5,Escalated
AGT-025,Arjun Reddy,April-2026,6,24,Inbound,256.0,5.0,95.8,Resolved
AGT-005,Rahul Chang,February-2026,24,0,Inbound,371.8,2.7,61.9,Unresolved
AGT-013,Rahul Wilson,February-2026,17,22,Inbound,265.1,4.5,100.0,Resolved
AGT-013,Rahul Wilson,April-2026,14,24,Inbound,172.2,5.0,91.6,Resolved
AGT-022,Michael Iyer,June-2026,26,23,Inbound,310.5,,95.6,Unresolved
AGT-016,Ananya Verma,June-2026,21,21,Inbound,271.2,5.0,,Resolved
AGT-012,Kavya Jenkins,June-2026,3,20,Inbound,205.5,3.9,75.7,Resolved
AGT-022,Michael Iyer,February-2026,18,19,Inbound,250.4,5.0,85.0,Resolved
AGT-002,Arjun Sharma,May-2026,4,22,Inbound,283.7,5.0,89.0,Resolved
AGT-011,David Chang,July-2026,9,14,Inbound,299.8,5.0,97.5,Escalated
AGT-005,Rahul Chang,June-2026,17,4,Inbound,296.1,3.1,78.3,Resolved
AGT-021, Ananya Gupta ,April-2026,6,11,Inbound,313.4,4.5,72.2,Unresolved
AGT-021,Ananya Gupta,April-2026,23,11,Inbound,242.9,4.7,76.9,Resolved
AGT-020,Rahul Sharma,March-2026,5,10,Inbound,277.3,4.6,95.6,Resolved
AGT-014,Priya Iyer,July-2026,10,23,Inbound,290.0,5.0,100.0,Escalated
AGT-025,Arjun Reddy,February-2026,10,22,Inbound,321.2,4.4,100.0,Resolved
AGT-003,Sarah Reddy,February-2026,7,22,Inbound,243.0,5.0,100.0,Resolved
AGT-007,Rahul Iyer,July-2026,16,29,Inbound,246.7,5.0,88.7,Resolved
AGT-017,Neha Sharma,May-2026,25,3,Inbound,333.7,3.9,70.0,Escalated
AGT-008, Kavya Gupta ,June-2026,8,12,Inbound,302.3,4.5,83.0,Resolved
AGT-022,Michael Iyer,July-2026,3,24,Inbound,307.4,5.0,83.0,Escalated
AGT-024,James Reddy,April-2026,19,6,Inbound,277.7,4.3,83.8,Unresolved
AGT-013,Rahul Wilson,June-2026,5,26,Inbound,273.0,4.8,91.7,Resolved
AGT-014,Priya Iyer,May-2026,16,21,Inbound,245.8,5.0,90.1,Resolved
AGT-005,Rahul Chang,March-2026,25,1,Inbound,297.8,2.2,71.4,Pending
AGT-009,Arjun Sharma,July-2026,15,7,Inbound,295.8,3.0,92.7,Pending
AGT-006,Arjun Nair,May-2026,21,21,Inbound,,4.6,90.8,Resolved
AGT-013,Rahul Wilson,May-2026,2,25,Inbound,273.4,5.0,100.0,Resolved
AGT-008,Kavya Gupta,February-2026,10,8,INBOUND,333.4,2.8,86.4,Resolved
AGT-015,Arjun Nair,April-2026,4,11,Inbound,242.6,4.3,72.9,Unresolved
AGT-010,James Iyer,July-2026,6,11,Inbound,239.2,3.5,89.3,Escalated
AGT-004,Priya Nair,March-2026,12,5,Inbound,,3.0,81.4,Resolved
AGT-015,Arjun Nair,April-2026,5,11,Inbound,227.2,4.5,89.9,Resolved
AGT-001,Arjun Jenkins,June-2026,11,20,Inbound,,5.0,96.7,Resolved
AGT-007,Rahul Iyer,June-2026,25,28,Inbound,241.2,5.0,94.7,Resolved
AGT-005, Rahul Chang ,July-2026,4,5,Inbound,355.9,4.7,80.5,Unresolved
AGT-009,Arjun Sharma,May-2026,13,5,Inbound,357.6,3.1,84.5,Pending
